
2024/11/03 (16:26:21) | ===> btop++ v.1.3.2
2024/11/03 (16:26:21) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/11/16 (12:14:13) | ===> btop++ v.1.3.2
2024/11/16 (12:14:13) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/19 (13:04:17) | ===> btop++ v.1.4.0
2025/01/19 (13:04:17) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:04:23) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:04:29) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:04:35) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:04:41) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:04:47) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:04:53) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:04:59) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:05:05) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:05:11) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:05:17) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:05:23) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:05:29) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:05:35) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:05:41) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:05:47) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:05:53) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:06:00) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:06:06) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:06:12) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:06:18) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:06:24) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:06:30) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:06:36) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:06:42) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:06:48) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:06:54) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:07:00) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:07:06) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:07:12) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:07:18) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:07:24) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:07:30) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:07:36) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:07:42) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:07:48) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:07:54) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:08:00) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:08:06) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:08:12) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:08:18) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:08:24) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:08:30) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:08:36) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:08:42) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:08:48) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:08:54) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:09:00) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:09:06) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:09:12) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:09:18) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:09:24) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:09:30) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:09:36) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:09:42) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:09:48) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:09:54) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:10:00) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:10:06) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:10:12) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:10:18) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:10:24) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:10:30) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:10:36) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:10:42) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:10:48) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:10:54) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:11:00) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:11:06) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:11:12) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:11:18) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:11:24) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:11:30) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:11:36) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:11:42) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:11:48) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:11:54) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:12:00) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:12:06) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:12:12) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:12:18) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:12:24) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:12:30) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:12:36) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:12:42) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:12:48) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:12:54) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:13:00) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:13:06) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:13:12) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:13:18) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:13:24) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:13:30) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:13:36) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:13:42) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:13:48) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:13:54) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:14:00) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:14:06) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:14:12) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:14:18) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:14:24) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:14:30) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:14:36) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:14:42) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:14:48) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:14:54) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:15:00) | ERROR: Stall in Runner thread, restarting!
2025/01/19 (13:15:06) | ERROR: Stall in Runner thread, restarting!
